"id","checksum","price","location","title","beds","baths","area","property_type","furnishing","amenities","link","reactivated_date","source","scraped_at","transformed_at"
1296,"28b7a073a5c52a46bbc1529422ead2dc",15000,"Rehab City, New Cairo","","2",1,90,"Apartment","Unfurnished","Security, Elevator","https://www.dubizzle.com.eg/en/ad/available-for-rent-in-rehab-1-a-great-opportunity-for-families-looking-for-a-prime-location-and-practical-layout-spacious-90-sqm-ID503485860.html","2026-05-09 13:55:58.663","dubizzle","2026-05-09 13:55:58.663","2026-05-09 20:34:09.427051"
1297,"0b00b972066f5613317124abb70dbe00",5000000,"Moharam Bek St., Moharam Bik","","3",1,190,"Apartment","Unfurnished","","https://www.dubizzle.com.eg/en/ad/apartment-for-sale-190-sq-m-moharram-bek-off-green-street-ID503485872.html","2026-05-09 13:55:58.892","dubizzle","2026-05-09 13:55:58.892","2026-05-09 20:34:09.808588"
1298,"8e959487e5df71b44c3fb32c98f7ffbe",22000000,"Madinaty, Cairo","","3",3,349,"Stand Alone Villa","Furnished","","https://www.dubizzle.com.eg/en/ad/at-a-very-special-price-own-a-classic-villa-ii-in-madinaty-195-meters-in-vg5-ID503485871.html","2026-05-09 13:55:59.123","dubizzle","2026-05-09 13:55:59.123","2026-05-09 20:34:10.187167"
1299,"62e564f19af54f29d9559e680fb10dfc",7000000,"King Mariout, Alexandria","","5",5,350,"Stand Alone Villa","Unfurnished","","https://www.dubizzle.com.eg/en/ad/villa-for-sale-in-king-mariout-inside-a-mini-compound-super-lux-finishing-registered-blue-contract-ID501885578.html","2026-05-09 13:55:59.516","dubizzle","2026-05-09 13:55:59.516","2026-05-09 20:34:10.547091"
1300,"bd6ecfb7d5d4c805a8bd48174e7c879e",28000000,"Alma Compound, Sheikh Zayed","","5",5,553,"Stand Alone Villa","Unfurnished","Balcony, Built in Kitchen Appliances, Private Garden, Security, Covered Parking, Pets Allowed, Pool, Electricity Meter, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/resale-villa-for-sale-in-alma-compound-near-arkan-plaza-in-sheikh-zayed-ID503328543.html","2026-05-09 13:55:59.741","dubizzle","2026-05-09 13:55:59.741","2026-05-09 20:34:10.926904"
1301,"fcdaf4533b1045ba5bcfb6efb6674964",5250000,"Rivers Compound, Sheikh Zayed","","3",2,155,"Apartment","Unfurnished","Built in Kitchen Appliances, Security, Covered Parking, Pets Allowed, Pool, Electricity Meter, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/for-sale-fully-finished-apartment-in-rivers-compound-new-zayed-ID503118446.html","2026-05-09 13:55:59.979","dubizzle","2026-05-09 13:55:59.979","2026-05-09 20:34:11.297053"
1302,"1b1c02dbf9e36fdc61c72572feb2faad",7500000,"Badya Palm Hills Compound, 6th of October","","3",3,178,"Apartment","Unfurnished","Balcony, Built in Kitchen Appliances, Private Garden, Security, Covered Parking, Pets Allowed, Pool, Electricity Meter, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/apartment-with-garden-resale-for-sale-fully-finished-immediate-delivery-in-palm-hills-developments-badya-october-ID503334275.html","2026-05-09 13:56:00.37","dubizzle","2026-05-09 13:56:00.37","2026-05-09 20:34:11.667243"
1303,"f9f987072f0f18f178d33d6c6cc788cd",19124000,"Granville, New Capital City","","5",4,256,"Town House","Unfurnished","Balcony, Security, Maids Room, Pets Allowed, Pool, Electricity Meter, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/live-the-life-of-distinction-ready-to-move-in-fully-finished-villa-at-granville-new-capital-ID503484983.html","2026-05-09 13:56:00.6","dubizzle","2026-05-09 13:56:00.6","2026-05-09 20:34:12.036752"
1304,"8084c8b1bb8d7fdcc20247a3782ee839",8933603,"Ray Residence, New Capital City","","5",4,365,"Duplex","Unfurnished","Built in Kitchen Appliances, Private Garden, Security, Pool, Landline","https://www.dubizzle.com.eg/en/ad/5-bedroom-duplex-with-private-garden-in-r8-new-capital-ID503484888.html","2026-05-09 13:56:00.827","dubizzle","2026-05-09 13:56:00.827","2026-05-09 20:34:12.396944"
1305,"447c68ca80e94992bd895ad13d7e4753",20000000,"Alamein, North Coast","","5",4,140,"Chalet","Furnished","Balcony, Built in Kitchen Appliances, Private Garden, Central A/C & heating, Security, Sea View, Gym, Pool, Electricity Meter, Water Meter","https://www.dubizzle.com.eg/en/ad/chalet-allamein-first-row-ready-to-move-fully-finished-and-furnished-ID503484929.html","2026-05-09 13:56:01.056","dubizzle","2026-05-09 13:56:01.056","2026-05-09 20:34:12.756869"
1306,"f418e023a07a20dd64f5d78a0f0ba1a0",30000,"Marassi, Sidi Abdel Rahman","","3",3,365,"Chalet","","","https://www.dubizzle.com.eg/en/ad/chalet-direct-on-marina-furnished-marina1-marassi-ID503484909.html","2026-05-09 13:56:01.289","dubizzle","2026-05-09 13:56:01.289","2026-05-09 20:34:13.167095"
1307,"b33c1a64afafd1e9dc778cd502e9efd2",7350000,"Mountain View iCity Compound, 6th of October","","3",2,155,"Apartment","Unfurnished","Balcony, Private Garden, Central A/C & heating, Security, Pool, Electricity Meter, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/resale-ready-to-move-ground-apartment-155-sqm-with-garden-64-sqm-in-mountain-view-icity-phase-club-park-ID503154269.html","2026-05-09 13:56:01.519","dubizzle","2026-05-09 13:56:01.519","2026-05-09 20:34:13.53764"
1308,"489a6647d0bcd7c6ec010625d58c4030",3800000,"Ayyam, R8","","3",3,145,"Apartment","Unfurnished","","https://www.dubizzle.com.eg/en/ad/apartment-for-sale-with-a-very-distinctive-open-view-available-on-installments-up-to-12-years-in-ayyam-compound-new-administrative-capital-ID503484855.html","2026-05-09 13:56:01.763","dubizzle","2026-05-09 13:56:01.763","2026-05-09 20:34:13.917097"
1311,"72b1067eabeaf38504627b86a2b5eaa7",6500000,"Sahl Hasheesh, Red Sea","","2",2,232,"Apartment","Furnished","Balcony, Built in Kitchen Appliances, Private Garden, Central A/C & heating, Security, Covered Parking, Maids Room, Pool, Electricity Meter, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/ground-floor-apartment-with-private-garden-in-sahl-hasheesh-ID503485584.html","2026-05-09 13:56:02.488","dubizzle","2026-05-09 13:56:02.488","2026-05-09 20:34:15.037677"
1312,"3b519adef76bd009c38d61fd2db21c84",2000000,"Alamein, North Coast","","2",2,145,"Chalet","Unfurnished","Balcony, Private Garden, Security, Gym, Pool, Electricity Meter","https://www.dubizzle.com.eg/en/ad/chalet-145m-fully-finished-for-sale-directly-on-the-sea-in-alamein-new-alamein-north-coast-mazarin-alamein-north-coast-ID503485577.html","2026-05-09 13:56:02.717","dubizzle","2026-05-09 13:56:02.717","2026-05-09 20:34:15.42277"
1313,"b5f5ed361d1acfb3306d90452a38f660",3875000,"Shorouk City, Cairo","","","",31,"Retail","Unfurnished","Security","https://www.dubizzle.com.eg/en/ad/shop-for-sale-in-el-shorouk-city-square-5-mall-ready-to-move-15-down-payment-5-year-installments-ID503485578.html","2026-05-09 13:56:02.947","dubizzle","2026-05-09 13:56:02.947","2026-05-09 20:34:15.798061"
1314,"18f0e2612d7c53a238784c62a33c622e",5375000,"Beit Al Watan, New Damietta","","3",2,250,"Apartment","Unfurnished","Balcony, Built in Kitchen Appliances, Private Garden, Security, Covered Parking, Pets Allowed, Electricity Meter, Water Meter, Landline","https://www.dubizzle.com.eg/en/ad/apt-for-sale-ready-to-move-with-12-months-installments-ID503401238.html","2026-05-09 13:56:03.184","dubizzle","2026-05-09 13:56:03.184","2026-05-09 20:34:16.199536"
1315,"423f42cb6ac6af153dfb096045315851",60000,"Smoha, Alexandria","","","",160,"Office Space","Unfurnished","","https://www.dubizzle.com.eg/en/ad/mezzanine-for-administrative-rent-160-m-tutankhamun-smouha-ID503390258.html","2026-05-09 13:56:03.413","dubizzle","2026-05-09 13:56:03.413","2026-05-09 20:34:16.577708"
1316,"1452146df195a02df11faab5405ef803",35000,"King Mariout, Alexandria","","5",6,500,"Stand Alone Villa","Furnished","Private Garden, Security, Maids Room, Pets Allowed, Pool, Electricity Meter, Water Meter","https://www.dubizzle.com.eg/en/ad/furnished-villa-for-rent-500-m-maraif-compound-king-mariout-ID503349657.html","2026-05-09 13:56:03.651","dubizzle","2026-05-09 13:56:03.651","2026-05-09 20:34:16.987177"
1317,"2caf1a9dfcc77bd0bd13608d8995fb9d",35000,"Grand View, Smoha","","3",2,180,"Apartment","Unfurnished","Covered Parking","https://www.dubizzle.com.eg/en/ad/apartment-for-rent-180-view-of-smouha-club-smouha-ID503350241.html","2026-05-09 13:56:03.884","dubizzle","2026-05-09 13:56:03.884","2026-05-09 20:34:17.367142"
1318,"c31a24b6ee6ef5b45fa2f06e4af57b3d",1900000,"Obour City, Cairo","","2",1,100,"Apartment","Unfurnished","Balcony, Security, Electricity Meter, Water Meter, Landline","https://www.dubizzle.com.eg/en/ad/for-sale-apartment-obour-city-second-district-100m-2-bedrooms-super-lux-finishing-prime-location-near-carrefour-and-obour-axis-ready-move-prime-locnow-ID503483711.html","2026-05-09 13:56:04.136","dubizzle","2026-05-09 13:56:04.136","2026-05-09 20:34:17.757408"
1319,"0787da86c30dce24223a81896be9ca4d",7508700,"Maadi, Cairo","","1",2,30,"Hotel Apartment","Furnished","Balcony, Built in Kitchen Appliances, Private Garden, Central A/C & heating, Security, Covered Parking, Maids Room, Pets Allowed, Pool, Electricity Meter, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/hotel-apartment-for-sale-overlooking-the-nile-and-the-pyramids-ID503485562.html","2026-05-09 13:56:04.378","dubizzle","2026-05-09 13:56:04.378","2026-05-09 20:34:18.136681"
1320,"8d352b51324bce0755f031bf9086d333",7250000,"5th Settlement, New Cairo","","5",3,378,"Duplex","Furnished","Balcony, Private Garden, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D8%AF%D9%88%D8%A8%D9%84%D9%83%D8%B3-%D8%A8%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-ID204005837.html","2026-05-09 13:56:04.613","dubizzle","2026-05-09 13:56:04.613","2026-05-09 20:34:18.537138"
1321,"f5a789bab5ec637c51c122b11932eeaf",36893000,"Madinaty, Cairo","","4",3,464,"Stand Alone Villa","Unfurnished","Built in Kitchen Appliances, Private Garden, Pets Allowed, Pool, Electricity Meter","https://www.dubizzle.com.eg/en/ad/for-sale-in-madinaty-villa-c3-wide-view-wide-garden-ID503485868.html","2026-05-09 13:56:04.838","dubizzle","2026-05-09 13:56:04.838","2026-05-09 20:34:18.917291"
1322,"282b576552419e23a9d51d55dda7e09a",28600000,"Triangle, 5th Settlement","","3",4,270,"Stand Alone Villa","Unfurnished","Private Garden, Pool","https://www.dubizzle.com.eg/en/ad/villa-at-half-price-in-prime-location-just-minutes-to-main-roads-within-the-community-from-water-way-ID503485862.html","2026-05-09 13:56:05.071","dubizzle","2026-05-09 13:56:05.071","2026-05-09 20:34:19.297148"
1323,"22c468cea0ffd93c1d6f31859594ba91",5500000,"Smoha, Alexandria","","2",2,100,"Apartment","","","https://www.dubizzle.com.eg/en/ad/apartment-for-sale-100-sq-m-smouha-prime-location-550000-egp-down-payment-ID503485867.html","2026-05-09 13:56:05.297","dubizzle","2026-05-09 13:56:05.297","2026-05-09 20:34:19.677212"
1324,"f95724bc38ce9494d5e5f8d87f2fb072",25000,"Madinaty, Cairo","","3",3,165,"Apartment","Unfurnished","Balcony, Security, Pets Allowed, Electricity Meter, Water Meter, Natural Gas, Landline, Elevator","https://www.dubizzle.com.eg/en/ad/for-rent-the-law-in-my-city-b12-area-165-square-meters-3-bedrooms-including-a-master-3-bathrooms-third-floor-ID503485866.html","2026-05-09 13:56:05.527","dubizzle","2026-05-09 13:56:05.527","2026-05-09 20:34:20.067439"
1325,"a3a5fc60847e888c1193ad487fa3c33d",15160695,"Mountain View 4, 6th of October","","3",3,263,"Town House","Unfurnished","Balcony, Built in Kitchen Appliances, Private Garden, Security, Covered Parking, Pets Allowed, Pool, Electricity Meter, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/townhouse-for-sale-immediate-delivery-with-cash-discount-in-mountain-view-4-6th-of-october-city-ID503334799.html","2026-05-09 13:56:05.755","dubizzle","2026-05-09 13:56:05.755","2026-05-09 20:34:20.437324"
1326,"f931c1e74dab53cd3244bb5a846cd974",4655000,"Tamaya, Sheikh Zayed","","3",3,133,"Apartment","Unfurnished","Balcony, Security, Covered Parking, Pets Allowed, Pool, Electricity Meter, Water Meter, Elevator","https://www.dubizzle.com.eg/en/ad/for-sale-3-bedroom-apartment-tamaya-residence-el-nozha-st-sheikh-zayed-lowest-price-per-sqm-10-down-payment-installments-up-to-10-years-ID503328803.html","2026-05-09 13:56:05.99","dubizzle","2026-05-09 13:56:05.99","2026-05-09 20:34:20.827342"
1327,"68dc70f0946e97fec76357b5db92c1a2",4900000,"Seashore, Ras Al Hekma","","3",2,104,"Chalet","Unfurnished","Balcony, Built in Kitchen Appliances, Private Garden, Security, Sea View, Gym, Pool, Electricity Meter, Water Meter, Elevator","https://www.dubizzle.com.eg/en/ad/fully-finished-chalet-for-sale-by-hyde-park-developments-in-seashore-ras-el-hekma-north-coast-ID503309333.html","2026-05-09 13:56:06.237","dubizzle","2026-05-09 13:56:06.237","2026-05-09 20:34:21.217379"
1328,"e398700c3bbcae069639ae1b20053106",2350000,"Bridges Mall, Sheikh Zayed","","","",47,"Clinic","Unfurnished","Security","https://www.dubizzle.com.eg/en/ad/fully-finished-clinic-for-sale-directly-on-the-26th-of-july-corridor-next-to-arkan-plaza-in-one-of-the-most-vibrant-commercial-areas-in-sheikh-zayed-ID503230811.html","2026-05-09 13:56:06.472","dubizzle","2026-05-09 13:56:06.472","2026-05-09 20:34:21.607368"
1329,"56dc52c8c87c48cb5054ca3ae19369e8",19000000,"Greens Compound, Sheikh Zayed","","4",4,303,"Stand Alone Villa","Unfurnished","Private Garden, Security, Covered Parking, Pets Allowed, Electricity Meter, Water Meter, Landline","https://www.dubizzle.com.eg/en/ad/villa-for-sale-area-of-303-meters-at-a-very-special-price-in-greens-compound-sheikh-zayed-semi-finished-ID502774158.html","2026-05-09 13:56:06.715","dubizzle","2026-05-09 13:56:06.715","2026-05-09 20:34:22.001649"
1330,"958bfe0c3d401721eb5ab7f6c0927b74",10644480,"North Coast, Matruh","","2",2,105,"Chalet","","","https://www.dubizzle.com.eg/en/ad/105-sqm-chalet-for-sale-north-coast-first-row-on-the-sea-ID503485863.html","2026-05-09 13:56:06.955","dubizzle","2026-05-09 13:56:06.955","2026-05-09 20:34:22.376855"
1331,"375a5c38bce3fb1ceb836c9ff562534a",7950000,"Villette Compound, 5th Settlement","","2",2,159,"Apartment","Unfurnished","Balcony, Built in Kitchen Appliances, Private Garden, Security, Covered Parking, Pets Allowed, Pool, Electricity Meter, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-for-sale-immediate-delivery-with-installments-over-10-years-and-flexible-payment-plans-villette-compound-by-sodic-new-ID503339788.html","2026-05-09 13:56:07.181","dubizzle","2026-05-09 13:56:07.181","2026-05-09 20:34:22.767247"
1332,"bfe39536dcaf4e1f5dffd4ce87b88a9b",1200000,"El Lebeny Axis, Haram","","2",2,130,"Apartment","Unfurnished","","https://www.dubizzle.com.eg/en/ad/130m-apartment-third-floor-ultra-super-lux-building-2-elevator-fully-equipped-in-al-libini-harem-awlad-rajab-20-meter-street-ID503333514.html","2026-05-09 13:56:07.408","dubizzle","2026-05-09 13:56:07.408","2026-05-09 20:34:23.137257"
